Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Canada Inc.
Statement,Data,BrokerAddress,"1800 McGill College Avenue, Suite 2106, Montreal, Quebec, Canada  H3A 3J6"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"July 21, 2023"
Statement,Data,WhenGenerated,"2023-07-22, 06:27:52 EDT"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,John Smith
Account Information,Data,Account Alias,RRSP
Account Information,Data,Account,U1234567
Account Information,Data,Account Type,Individual
Account Information,Data,Customer Type,Registered Retirement Savings Plan
Account Information,Data,Account Capabilities,Cash
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,19032.472736799,50542.133452072,0,50542.133452072,31509.660715273
Net Asset Value,Data,Stock,306150,261036,0,261036,-45114
Net Asset Value,Data,Options,-48564.76,2016.61,-36878.05,-34861.44,13703.32
Net Asset Value,Data,Interest Accruals,2.45,2.45,0,2.45,0
Net Asset Value,Data,Dividend Accruals,830,830,0,830,0
Net Asset Value,Data,Total,277450.162736799,314427.193452072,-36878.05,277549.143452072,98.980715273
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.035675133%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,277450.162736799
Change in NAV,Data,Mark-to-Market,105.31998752
Change in NAV,Data,Commissions,-6.33927225
Change in NAV,Data,Ending Value,277549.143452072
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,ABBV,100,100,142.1900,143.7400,155,0,0,0,155,CP
Mark-to-Market Performance Summary,Data,Stocks,APA,300,200,37.9700,38.6400,201,-5,-0.41562925,0,195.58437075,CP
Mark-to-Market Performance Summary,Data,Stocks,BMY,100,100,63.7700,64.6800,91,0,0,0,91,CP
Mark-to-Market Performance Summary,Data,Stocks,CFG,0,300,--,31.0500,0,60,-1.31077175,0,58.68922825,CP
Mark-to-Market Performance Summary,Data,Stocks,CMCSA,200,200,43.2100,42.8900,-64,0,0,0,-64,CP
Mark-to-Market Performance Summary,Data,Stocks,CWH,100,100,31.7400,31.3600,-38,0,0,0,-38,CP
Mark-to-Market Performance Summary,Data,Stocks,DAL,300,300,48.6900,48.5500,-42,0,0,0,-42,CP
Mark-to-Market Performance Summary,Data,Stocks,DELL,100,100,53.6000,53.5600,-4,0,0,0,-4,CP
Mark-to-Market Performance Summary,Data,Stocks,DKS,100,100,131.8500,131.4900,-36,0,0,0,-36,CP
Mark-to-Market Performance Summary,Data,Stocks,F,300,300,14.0300,13.9300,-30,0,0,0,-30,CP
Mark-to-Market Performance Summary,Data,Stocks,FL,300,300,25.7400,25.3100,-129,0,0,0,-129,CP
Mark-to-Market Performance Summary,Data,Stocks,HAS,100,0,63.8400,63.9600,12,-1396,-0.0545,0,-1384.0545,
Mark-to-Market Performance Summary,Data,Stocks,HASI,300,300,28.3400,28.0900,-75,0,0,0,-75,CP
Mark-to-Market Performance Summary,Data,Stocks,HP,200,200,41.1900,41.1300,-12,0,0,0,-12,
Mark-to-Market Performance Summary,Data,Stocks,HPQ,200,200,32.5600,32.2400,-64,0,0,0,-64,
Mark-to-Market Performance Summary,Data,Stocks,MS,0,100,--,94.0100,0,-35,-0.37025725,0,-35.37025725,CP
Mark-to-Market Performance Summary,Data,Stocks,MSFT,100,0,346.8700,343.7700,-310,-13877,-0.1785,0,-14187.1785,
Mark-to-Market Performance Summary,Data,Stocks,NOG,300,300,36.5000,36.5100,3,0,0,0,3,CP
Mark-to-Market Performance Summary,Data,Stocks,NTAP,100,100,80.0700,79.5100,-56,0,0,0,-56,CP
Mark-to-Market Performance Summary,Data,Stocks,NUE,100,100,166.0200,163.8300,-219,0,0,0,-219,
Mark-to-Market Performance Summary,Data,Stocks,PARA,200,200,15.9000,15.5200,-76,0,0,0,-76,
Mark-to-Market Performance Summary,Data,Stocks,QQQM,100,100,154.9900,154.5400,-45,0,0,0,-45,
Mark-to-Market Performance Summary,Data,Stocks,SCHW,100,100,67.9400,66.4800,-146,0,0,0,-146,
Mark-to-Market Performance Summary,Data,Stocks,SKT,300,300,23.7500,23.5700,-54,0,0,0,-54,CP
Mark-to-Market Performance Summary,Data,Stocks,SM,200,200,34.6100,34.2900,-64,0,0,0,-64,CP
Mark-to-Market Performance Summary,Data,Stocks,STLD,200,200,102.1700,100.3000,-374,0,0,0,-374,
Mark-to-Market Performance Summary,Data,Stocks,STNG,100,0,42.3600,41.0100,-135,899,-0.0545,0,763.9455,CP
Mark-to-Market Performance Summary,Data,Stocks,TGT,100,0,134.6400,134.0800,-56,592,-0.1265,0,535.8735,CP
Mark-to-Market Performance Summary,Data,Stocks,WWW,400,400,12.5300,12.2500,-112,0,0,0,-112,CP
Mark-to-Market Performance Summary,Data,Stocks,XLK,100,100,176.2200,176.1300,-9,0,0,0,-9,
Mark-to-Market Performance Summary,Data,Stocks,XLY,100,100,170.9400,170.9800,4,0,0,0,4,
Mark-to-Market Performance Summary,Data,Total,,,,,,-1684,-13762,-2.51065825,0,-15448.51065825,
Mark-to-Market Performance Summary,Data,Equity and Index Options,ABBV 18AUG23 125 C,-1,-1,18.0205,19.4745,-145.4,0,0,0,-145.4,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,APA 28JUL23 35 P,1,1,0.1000,0.0485,-5.15,0,0,0,-5.15,
Mark-to-Market Performance Summary,Data,Equity and Index Options,APA 25AUG23 31 C,-1,0,7.3575,7.9458,-58.83,4.58,-1.04905,0,-55.29905,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,APA 25AUG23 34 C,-1,-1,4.7405,5.2393,-49.88,0,0,0,-49.88,
Mark-to-Market Performance Summary,Data,Equity and Index Options,APA 20OCT23 32.5 C,-1,-1,6.8441,7.3748,-53.07,0,0,0,-53.07,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,BMY 15SEP23 60 C,-1,-1,4.9322,5.5931,-66.09,0,0,0,-66.09,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,CFG 20OCT23 25 C,0,-3,--,6.4880,0,-68.4,-1.721994,0,-70.121994,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,CMCSA 18AUG23 37.5 C,-2,-2,5.9806,5.6439,67.34,0,0,0,67.34,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,CWH 15SEP23 26 C,-1,-1,6.2977,5.9101,38.76,0,0,0,38.76,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,DAL 18AUG23 42 C,-3,-3,7.0247,6.8317,57.9,0,0,0,57.9,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,DELL 25AUG23 50 C,-1,-1,4.3000,4.1510,14.9,0,0,0,14.9,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,DKS 28JUL23 130 P,1,1,1.5500,1.3500,-20,0,0,0,-20,
Mark-to-Market Performance Summary,Data,Equity and Index Options,DKS 25AUG23 125 C,-1,-1,11.0074,10.5768,43.06,0,0,0,43.06,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,F 18AUG23 13 C,-3,-3,1.1658,1.0648,30.3,0,0,0,30.3,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,FL 18AUG23 22.5 C,-3,-3,3.8539,3.4953,107.58,0,0,0,107.58,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,HAS 21JUL23 50 C,-1,0,13.8449,13.9600,-11.51,1396,0,0,1384.49,
Mark-to-Market Performance Summary,Data,Equity and Index Options,HASI 18AUG23 22.5 C,-3,-3,5.8808,5.9683,-26.25,0,0,0,-26.25,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,HP 21JUL23 35 P,2,0,0.0001,--,-0.02,0,0,0,-0.02,
Mark-to-Market Performance Summary,Data,Equity and Index Options,HP 18AUG23 35 C,-2,-2,6.4000,6.2918,21.64,0,0,0,21.64,
Mark-to-Market Performance Summary,Data,Equity and Index Options,HPQ 18AUG23 27 C,-2,-2,5.6978,5.3850,62.56,0,0,0,62.56,
Mark-to-Market Performance Summary,Data,Equity and Index Options,MS 15SEP23 87.5 C,0,-1,--,7.3089,0,29.11,-1.05757,0,28.05243,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,MSFT 21JUL23 205 C,-1,0,141.8700,138.7700,310,13877,0,0,14187,
Mark-to-Market Performance Summary,Data,Equity and Index Options,NOG 15SEP23 28 C,-3,-3,8.8835,8.9744,-27.27,0,0,0,-27.27,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,NTAP 18AUG23 67.5 C,-1,-1,12.9458,12.3899,55.59,0,0,0,55.59,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,NUE 21JUL23 135 P,1,0,0.0001,--,-0.01,0,0,0,-0.01,
Mark-to-Market Performance Summary,Data,Equity and Index Options,NUE 19JAN24 135 C,-1,-1,37.5111,35.3813,212.98,0,0,0,212.98,
Mark-to-Market Performance Summary,Data,Equity and Index Options,PARA 28JUL23 16 C,-2,-2,0.4200,0.2000,44,0,0,0,44,
Mark-to-Market Performance Summary,Data,Equity and Index Options,PARA 28JUL23 17.5 P,2,2,1.6541,2.0052,70.22,0,0,0,70.22,
Mark-to-Market Performance Summary,Data,Equity and Index Options,QQQM 15DEC23 130 C,-1,-1,28.9749,28.5611,41.38,0,0,0,41.38,
Mark-to-Market Performance Summary,Data,Equity and Index Options,SCHW 21JUL23 60 P,1,0,0.0083,--,-0.83,0,0,0,-0.83,
Mark-to-Market Performance Summary,Data,Equity and Index Options,SCHW 15SEP23 60 C,-1,-1,8.8009,7.4609,134,0,0,0,134,
Mark-to-Market Performance Summary,Data,Equity and Index Options,SKT 15SEP23 22 C,-3,-3,2.0238,1.9157,32.43,0,0,0,32.43,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,SM 18AUG23 30 C,-2,-2,5.2407,4.8919,69.76,0,0,0,69.76,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,STLD 18AUG23 95 C,-1,-1,8.9728,7.2685,170.43,0,0,0,170.43,
Mark-to-Market Performance Summary,Data,Equity and Index Options,STLD 18AUG23 100 C,-1,-1,5.4051,4.0722,133.29,0,0,0,133.29,
Mark-to-Market Performance Summary,Data,Equity and Index Options,STLD 18AUG23 115 P,1,1,13.0234,14.7572,173.38,0,0,0,173.38,
Mark-to-Market Performance Summary,Data,Equity and Index Options,STNG 21JUL23 47 C,-1,0,0.0129,--,1.29,0,0,0,1.29,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,STNG 21JUL23 50 P,1,0,7.6401,8.9900,134.99,-899,0,0,-764.01,
Mark-to-Market Performance Summary,Data,Equity and Index Options,TGT 21JUL23 135 C,-1,0,0.6900,--,69,0,0,0,69,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,TGT 21JUL23 140 P,1,0,5.3921,5.9200,52.79,-592,0,0,-539.21,
Mark-to-Market Performance Summary,Data,Equity and Index Options,WWW 21JUL23 12.5 C,-4,0,0.2066,--,82.64,0,0,0,82.64,
Mark-to-Market Performance Summary,Data,Equity and Index Options,XLK 19JAN24 144 C,-1,-1,37.2664,37.0672,19.92,0,0,0,19.92,
Mark-to-Market Performance Summary,Data,Equity and Index Options,XLY 15DEC23 155 C,-1,-1,22.0732,21.9111,16.21,0,0,0,16.21,
Mark-to-Market Performance Summary,Data,Total,,,,,,1804.03,13747.29,-3.828614,0,15547.491386,
Mark-to-Market Performance Summary,Data,Forex,CAD,0.0042153,0.0042153,0.75917,0.75621,-0.00001248,0,0,0,-0.00001248,
Mark-to-Market Performance Summary,Data,Forex,USD,19032.46953667,50542.13026442,1.0000,1.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Total,,,,,,-0.00001248,0,0,0,-0.00001248,
Mark-to-Market Performance Summary,Data,Total (All Assets),,,,,,120.02998752,-14.71,-6.33927225,0,98.98071527,
Realized & Unrealized Performance Summary,Header,Asset Category,Symbol,Cost Adj.,Realized S/T Profit,Realized S/T Loss,Realized L/T Profit,Realized L/T Loss,Realized Total,Unrealized S/T Profit,Unrealized S/T Loss,Unrealized L/T Profit,Unrealized L/T Loss,Unrealized Total,Total,Code
Realized & Unrealized Performance Summary,Data,Stocks,ABBV,0,0,0,0,0,0,632.629743,0,0,0,632.629743,632.629743,CP
Realized & Unrealized Performance Summary,Data,Stocks,APA,0,0,-672.78588625,0,0,-672.78588625,432.259486,0,0,0,432.259486,-240.52640025,CP
Realized & Unrealized Performance Summary,Data,Stocks,BMY,0,0,0,0,0,0,0,-55.370257,0,0,-55.370257,-55.370257,CP
Realized & Unrealized Performance Summary,Data,Stocks,CFG,0,0,0,0,0,0,58.689229,0,0,0,58.689229,58.689229,CP
Realized & Unrealized Performance Summary,Data,Stocks,CMCSA,0,0,0,0,0,0,435.159486,0,0,0,435.159486,435.159486,CP
Realized & Unrealized Performance Summary,Data,Stocks,CWH,0,0,0,0,0,0,226.629743,0,0,0,226.629743,226.629743,CP
Realized & Unrealized Performance Summary,Data,Stocks,DAL,0,0,0,0,0,0,526.689229,0,0,0,526.689229,526.689229,CP
Realized & Unrealized Performance Summary,Data,Stocks,DELL,0,0,0,0,0,0,0,-123.370257,0,0,-123.370257,-123.370257,CP
Realized & Unrealized Performance Summary,Data,Stocks,DKS,0,0,0,0,0,0,0,-1774.370257,0,0,-1774.370257,-1774.370257,CP
Realized & Unrealized Performance Summary,Data,Stocks,F,0,0,0,0,0,0,0,-109.310771,0,0,-109.310771,-109.310771,CP
Realized & Unrealized Performance Summary,Data,Stocks,FL,0,0,0,0,0,0,0,-295.310771,0,0,-295.310771,-295.310771,CP
Realized & Unrealized Performance Summary,Data,Stocks,HAS,0,0,-713.082671,0,0,-713.082671,0,0,0,0,0,-713.082671,
Realized & Unrealized Performance Summary,Data,Stocks,HASI,0,0,0,0,0,0,554.689229,0,0,0,554.689229,554.689229,CP
Realized & Unrealized Performance Summary,Data,Stocks,HP,0,0,0,0,0,0,0,-1295.840514,0,0,-1295.840514,-1295.840514,
