Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Canada Inc.
Statement,Data,BrokerAddress,"1800 McGill College Avenue, Suite 2106, Montreal, Quebec, Canada  H3A 3J6"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"June 8, 2023"
Statement,Data,WhenGenerated,"2023-06-09, 16:37:26 EDT"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,John Smith
Account Information,Data,Account Alias,RRSP
Account Information,Data,Account,U2084273
Account Information,Data,Account Type,Individual
Account Information,Data,Customer Type,Registered Retirement Savings Plan
Account Information,Data,Account Capabilities,Cash
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,3297.486079501,3433.486082662,0,3433.486082662,136.000003161
Net Asset Value,Data,Stock,327479,328030,0,328030,551
Net Asset Value,Data,Options,-56955.72,4567.24,-61522.08,-56954.84,0.88
Net Asset Value,Data,Dividend Accruals,411,275,0,275,-136
Net Asset Value,Data,Total,274231.766079501,336305.726082662,-61522.08,274783.646082662,551.880003161
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.201245833%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,274231.766079501
Change in NAV,Data,Mark-to-Market,551.88000316
Change in NAV,Data,Dividends,136
Change in NAV,Data,Change in Dividend Accruals,-136
Change in NAV,Data,Ending Value,274783.646082662
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,APA,100,100,34.4000,34.0000,-40,0,0,0,-40,
Mark-to-Market Performance Summary,Data,Stocks,BOH,100,100,47.6600,47.4200,-24,0,0,0,-24,CP
Mark-to-Market Performance Summary,Data,Stocks,BX,100,100,87.3000,88.6600,136,0,0,0,136,CP
Mark-to-Market Performance Summary,Data,Stocks,C,100,100,48.0100,48.1000,9,0,0,0,9,CP
Mark-to-Market Performance Summary,Data,Stocks,CVE,200,200,17.6000,17.3200,-56,0,0,0,-56,
Mark-to-Market Performance Summary,Data,Stocks,DKS,200,200,135.4100,134.9700,-88,0,0,0,-88,CP
Mark-to-Market Performance Summary,Data,Stocks,EBAY,100,100,45.0600,45.6100,55,0,0,0,55,CP
Mark-to-Market Performance Summary,Data,Stocks,EQT,100,100,38.8100,38.9700,16,0,0,0,16,CP
Mark-to-Market Performance Summary,Data,Stocks,FDX,100,100,224.6000,225.0100,41,0,0,0,41,
Mark-to-Market Performance Summary,Data,Stocks,HAS,100,100,61.1400,61.0900,-5,0,0,0,-5,
Mark-to-Market Performance Summary,Data,Stocks,HP,200,200,34.8600,35.0300,34,0,0,0,34,
Mark-to-Market Performance Summary,Data,Stocks,HPQ,200,200,29.9300,30.0400,22,0,0,0,22,
Mark-to-Market Performance Summary,Data,Stocks,JWN,200,200,19.4200,19.3800,-8,0,0,0,-8,CP
Mark-to-Market Performance Summary,Data,Stocks,M,200,200,16.2100,16.0200,-38,0,0,0,-38,CP
Mark-to-Market Performance Summary,Data,Stocks,MSFT,200,200,323.3800,325.2600,376,0,0,136,512,CP
Mark-to-Market Performance Summary,Data,Stocks,NKE,100,100,107.0900,106.2000,-89,0,0,0,-89,CP
