Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Canada Inc.
Statement,Data,BrokerAddress,"1800 McGill College Avenue, Suite 2106, Montreal, Quebec, Canada  H3A 3J6"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"June 9, 2023"
Statement,Data,WhenGenerated,"2023-06-11, 16:05:53 EDT"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,John Smith
Account Information,Data,Account Alias,RRSP
Account Information,Data,Account,U1234567
Account Information,Data,Account Type,Individual
Account Information,Data,Customer Type,Registered Retirement Savings Plan
Account Information,Data,Account Capabilities,Cash
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,3433.486082662,3627.065160875,0,3627.065160875,193.579078212
Net Asset Value,Data,Stock,328030,322389,0,322389,-5641
Net Asset Value,Data,Options,-56954.84,5203.19,-56410.44,-51207.25,5747.59
Net Asset Value,Data,Dividend Accruals,275,275,0,275,0
Net Asset Value,Data,Total,274783.646082662,331494.255160875,-56410.44,275083.815160875,300.169078212
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.109238334%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,274783.646082662
Change in NAV,Data,Mark-to-Market,304.59000396
Change in NAV,Data,Commissions,-4.42092575
Change in NAV,Data,Ending Value,275083.815160875
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,APA,100,100,34.0000,33.4100,-59,0,0,0,-59,
Mark-to-Market Performance Summary,Data,Stocks,BOH,100,100,47.4200,45.6400,-178,0,0,0,-178,CP
Mark-to-Market Performance Summary,Data,Stocks,BX,100,100,88.6600,88.1900,-47,0,0,0,-47,CP
Mark-to-Market Performance Summary,Data,Stocks,C,100,100,48.1000,48.3000,20,0,0,0,20,CP
Mark-to-Market Performance Summary,Data,Stocks,CMA,0,100,--,42.0800,0,15,-0.37025725,0,14.62974275,CP
Mark-to-Market Performance Summary,Data,Stocks,CVE,200,200,17.3200,17.3900,14,0,0,0,14,
Mark-to-Market Performance Summary,Data,Stocks,DKS,200,200,134.9700,135.7200,150,0,0,0,150,CP
Mark-to-Market Performance Summary,Data,Stocks,EBAY,100,100,45.6100,45.8100,20,0,0,0,20,CP
Mark-to-Market Performance Summary,Data,Stocks,EQT,100,100,38.9700,38.5500,-42,0,0,0,-42,CP
Mark-to-Market Performance Summary,Data,Stocks,FDX,100,0,225.0100,223.7600,-125,-6876,-0.1385,0,-7001.1385,
Mark-to-Market Performance Summary,Data,Stocks,HAS,100,100,61.0900,60.2900,-80,0,0,0,-80,
Mark-to-Market Performance Summary,Data,Stocks,HP,200,200,35.0300,34.8000,-46,0,0,0,-46,
Mark-to-Market Performance Summary,Data,Stocks,HPQ,200,200,30.0400,29.8000,-48,0,0,0,-48,
Mark-to-Market Performance Summary,Data,Stocks,JWN,200,200,19.3800,19.7400,72,0,0,0,72,CP
Mark-to-Market Performance Summary,Data,Stocks,M,200,200,16.0200,15.6600,-72,0,0,0,-72,CP
Mark-to-Market Performance Summary,Data,Stocks,MSFT,200,200,325.2600,326.7900,306,0,0,0,306,CP
Mark-to-Market Performance Summary,Data,Stocks,NKE,100,100,106.2000,105.8600,-34,0,0,0,-34,CP
Mark-to-Market Performance Summary,Data,Stocks,NUE,100,100,146.8400,145.5500,-129,0,0,0,-129,
Mark-to-Market Performance Summary,Data,Stocks,NXPI,100,100,187.4600,185.0000,-246,0,0,0,-246,
Mark-to-Market Performance Summary,Data,Stocks,PARA,200,200,16.5800,16.1000,-96,0,0,0,-96,
Mark-to-Market Performance Summary,Data,Stocks,PHM,0,100,--,71.9900,0,-3,-0.37025725,0,-3.37025725,CP
Mark-to-Market Performance Summary,Data,Stocks,QQQM,100,100,145.1800,145.7800,60,0,0,0,60,
Mark-to-Market Performance Summary,Data,Stocks,SCHW,100,100,55.0300,55.0000,-3,0,0,0,-3,
Mark-to-Market Performance Summary,Data,Stocks,STLD,200,200,100.3600,99.2200,-228,0,0,0,-228,
Mark-to-Market Performance Summary,Data,Stocks,STNG,100,100,44.8700,44.8400,-3,0,0,0,-3,CP
Mark-to-Market Performance Summary,Data,Stocks,STX,0,100,--,60.8900,0,34,-0.37025725,0,33.62974275,CP
Mark-to-Market Performance Summary,Data,Stocks,TD,100,100,59.1700,59.2700,10,0,0,0,10,CP
Mark-to-Market Performance Summary,Data,Stocks,TGT,100,100,131.2700,126.9900,-428,0,0,0,-428,CP
Mark-to-Market Performance Summary,Data,Stocks,TSM,100,100,99.9400,102.8000,286,0,0,0,286,CP
Mark-to-Market Performance Summary,Data,Stocks,XLK,100,100,165.1900,166.0100,82,0,0,0,82,
Mark-to-Market Performance Summary,Data,Stocks,XLY,100,100,160.3700,161.2000,83,0,0,0,83,
Mark-to-Market Performance Summary,Data,Total,,,,,,-761,-6830,-1.24927175,0,-7592.24927175,
Mark-to-Market Performance Summary,Data,Equity and Index Options,APA 16JUN23 31 C,-1,-1,3.1601,2.5777,58.24,0,0,0,58.24,
Mark-to-Market Performance Summary,Data,Equity and Index Options,APA 16JUN23 35 P,1,1,1.4366,1.8222,38.56,0,0,0,38.56,
Mark-to-Market Performance Summary,Data,Equity and Index Options,BOH 16JUN23 30 C,-1,-1,17.4752,15.6911,178.41,0,0,0,178.41,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,BX 21JUL23 70 C,-1,-1,19.3762,18.9342,44.2,0,0,0,44.2,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,C 16JUN23 40 C,-1,-1,8.1641,8.3758,-21.17,0,0,0,-21.17,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,CMA 21JUL23 35 C,0,-1,--,7.8896,0,-34.96,-1.057522,0,-36.017522,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,CVE 16JUN23 15 C,-2,-2,2.3353,2.4117,-15.28,0,0,0,-15.28,
Mark-to-Market Performance Summary,Data,Equity and Index Options,CVE 16JUN23 15 P,1,1,0.0142,0.0500,3.58,0,0,0,3.58,
Mark-to-Market Performance Summary,Data,Equity and Index Options,DKS 16JUN23 110 C,-1,-1,25.0242,25.8356,-81.14,0,0,0,-81.14,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,DKS 16JUN23 122 C,-1,-1,13.0682,13.8900,-82.18,0,0,0,-82.18,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,DKS 16JUN23 130 P,1,1,0.9750,0.6000,-37.5,0,0,0,-37.5,
Mark-to-Market Performance Summary,Data,Equity and Index Options,EBAY 21JUL23 40 C,-1,-1,6.0641,6.2272,-16.31,0,0,0,-16.31,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,EQT 16JUN23 27 C,-1,-1,12.0290,11.6208,40.82,0,0,0,40.82,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,FDX 16JUN23 155 C,-1,0,70.0100,68.9658,104.42,6896.58,0,0,7001,
Mark-to-Market Performance Summary,Data,Equity and Index Options,HAS 21JUL23 50 C,-1,-1,11.6287,10.8725,75.62,0,0,0,75.62,
Mark-to-Market Performance Summary,Data,Equity and Index Options,HP 16JUN23 32.5 C,-2,-2,2.7357,2.4773,51.68,0,0,0,51.68,
Mark-to-Market Performance Summary,Data,Equity and Index Options,HP 16JUN23 35 P,2,2,0.8500,0.8970,9.4,0,0,0,9.4,
Mark-to-Market Performance Summary,Data,Equity and Index Options,HPQ 16JUN23 27 C,-2,-2,3.0442,2.8041,48.02,0,0,0,48.02,
Mark-to-Market Performance Summary,Data,Equity and Index Options,HPQ 16JUN23 30 P,2,2,0.5537,0.6437,18,0,0,0,18,
Mark-to-Market Performance Summary,Data,Equity and Index Options,JWN 16JUN23 14.5 C,-2,-2,4.8944,5.2489,-70.9,0,0,0,-70.9,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,M 21JUL23 14 C,-2,-2,2.2306,1.9189,62.34,0,0,0,62.34,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,MSFT 21JUL23 205 C,-1,-1,121.6159,123.6321,-201.62,0,0,0,-201.62,
Mark-to-Market Performance Summary,Data,Equity and Index Options,MSFT 21JUL23 245 C,-1,-1,81.9683,83.9813,-201.3,0,0,0,-201.3,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,NKE 30JUN23 100 C,-1,-1,8.4269,8.0983,32.86,0,0,0,32.86,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,NUE 21JUL23 130 C,-1,-1,18.7436,17.5655,117.81,0,0,0,117.81,
Mark-to-Market Performance Summary,Data,Equity and Index Options,NUE 21JUL23 135 P,1,1,2.5200,2.7400,22,0,0,0,22,
Mark-to-Market Performance Summary,Data,Equity and Index Options,NXPI 16JUN23 140 C,-1,-1,47.5484,45.0632,248.52,0,0,0,248.52,
Mark-to-Market Performance Summary,Data,Equity and Index Options,PARA 16JUN23 14 C,-2,-2,2.6047,2.1445,92.04,0,0,0,92.04,
Mark-to-Market Performance Summary,Data,Equity and Index Options,PARA 16JUN23 17.5 P,2,2,1.1379,1.4988,72.18,0,0,0,72.18,
Mark-to-Market Performance Summary,Data,Equity and Index Options,PHM 21JUL23 65 C,0,-1,--,7.7618,0,-5.18,-1.057658,0,-6.237658,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,QQQM 16JUN23 120 C,-1,-1,25.4181,25.9728,-55.47,0,0,0,-55.47,
Mark-to-Market Performance Summary,Data,Equity and Index Options,SCHW 16JUN23 47.5 C,-1,-1,7.6387,7.5735,6.52,0,0,0,6.52,
Mark-to-Market Performance Summary,Data,Equity and Index Options,SCHW 16JUN23 57.5 P,1,1,2.7785,2.7196,-5.89,0,0,0,-5.89,
Mark-to-Market Performance Summary,Data,Equity and Index Options,STLD 16JUN23 95 C,-2,-2,6.2186,5.1757,208.58,0,0,0,208.58,
Mark-to-Market Performance Summary,Data,Equity and Index Options,STLD 16JUN23 100 P,1,1,2.2000,2.6022,40.22,0,0,0,40.22,
Mark-to-Market Performance Summary,Data,Equity and Index Options,STLD 16JUN23 115 P,1,1,14.6688,15.7942,112.54,0,0,0,112.54,
Mark-to-Market Performance Summary,Data,Equity and Index Options,STNG 21JUL23 46 C,-1,-1,2.2000,2.1500,5,0,0,0,5,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,STNG 21JUL23 50 P,1,1,6.1400,6.2072,6.72,0,0,0,6.72,
Mark-to-Market Performance Summary,Data,Equity and Index Options,STX 21JUL23 55 C,0,-1,--,6.5880,0,-35.8,-1.056474,0,-36.856474,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,TD 21JUL23 50 C,-1,-1,9.4477,9.5605,-11.28,0,0,0,-11.28,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,TGT 21JUL23 130 C,-1,-1,5.9735,3.7250,224.85,0,0,0,224.85,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,TGT 21JUL23 140 P,1,1,9.8561,13.4175,356.14,0,0,0,356.14,
Mark-to-Market Performance Summary,Data,Equity and Index Options,TSM 07JUL23 90 C,-1,-1,10.4969,13.1054,-260.85,0,0,0,-260.85,CP
Mark-to-Market Performance Summary,Data,Equity and Index Options,XLK 21JUL23 139 C,-1,-1,26.9654,27.6644,-69.9,0,0,0,-69.9,
Mark-to-Market Performance Summary,Data,Equity and Index Options,XLY 16JUN23 146 C,-1,-1,14.6506,15.3859,-73.53,0,0,0,-73.53,
Mark-to-Market Performance Summary,Data,Total,,,,,,1074.95,6820.64,-3.171654,0,7892.418346,
Mark-to-Market Performance Summary,Data,Forex,CAD,0.0042153,0.0042153,0.74864,0.74958,0.00000396,0,0,0,0.00000396,
Mark-to-Market Performance Summary,Data,Forex,USD,3433.48292692,3627.06200117,1.0000,1.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Total,,,,,,0.00000396,0,0,0,0.00000396,
Mark-to-Market Performance Summary,Data,Total (All Assets),,,,,,313.95000396,-9.36,-4.42092575,0,300.16907821,
Realized & Unrealized Performance Summary,Header,Asset Category,Symbol,Cost Adj.,Realized S/T Profit,Realized S/T Loss,Realized L/T Profit,Realized L/T Loss,Realized Total,Unrealized S/T Profit,Unrealized S/T Loss,Unrealized L/T Profit,Unrealized L/T Loss,Unrealized Total,Total,Code
Realized & Unrealized Performance Summary,Data,Stocks,APA,0,0,0,0,0,0,0,-1190.370257,0,0,-1190.370257,-1190.370257,
Realized & Unrealized Performance Summary,Data,Stocks,BOH,0,0,0,0,0,0,429.629743,0,0,0,429.629743,429.629743,CP
Realized & Unrealized Performance Summary,Data,Stocks,BX,0,0,0,0,0,0,68.629743,0,0,0,68.629743,68.629743,CP
