Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Canada Inc.
Statement,Data,BrokerAddress,"1800 McGill College Avenue, Suite 2106, Montreal, Quebec, Canada  H3A 3J6"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"June 12, 2023"
Statement,Data,WhenGenerated,"2023-06-13, 07:04:08 EDT"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,John Smith
Account Information,Data,Account Alias,RRSP
Account Information,Data,Account,U1234567
Account Information,Data,Account Type,Individual
Account Information,Data,Customer Type,Registered Retirement Savings Plan
Account Information,Data,Account Capabilities,Cash
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,3627.065160875,4338.437672052,0,4338.437672052,711.372511177
Net Asset Value,Data,Stock,322389,324378,0,324378,1989
Net Asset Value,Data,Options,-51207.25,5024.65,-58716.82,-53692.17,-2484.92
Net Asset Value,Data,Dividend Accruals,275,192,0,192,-83
Net Asset Value,Data,Total,275083.815160875,333933.087672052,-58716.82,275216.267672052,132.452511177
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.048149874%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,275083.815160875
Change in NAV,Data,Mark-to-Market,113.07999368
Change in NAV,Data,Dividends,108
Change in NAV,Data,Change in Dividend Accruals,-83
Change in NAV,Data,Commissions,-5.6274825
Change in NAV,Data,Ending Value,275216.267672052
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,APA,100,100,33.4100,33.0600,-35,0,0,0,-35,
Mark-to-Market Performance Summary,Data,Stocks,BOH,100,0,45.6400,45.3600,-28,47,-0.52142125,0,18.47857875,CP
Mark-to-Market Performance Summary,Data,Stocks,BX,100,100,88.1900,89.8900,170,0,0,0,170,CP
Mark-to-Market Performance Summary,Data,Stocks,C,100,100,48.3000,48.4500,15,0,0,0,15,CP
Mark-to-Market Performance Summary,Data,Stocks,CMA,100,100,42.0800,41.0300,-105,0,0,0,-105,CP
Mark-to-Market Performance Summary,Data,Stocks,CVE,200,200,17.3900,16.6900,-140,0,0,0,-140,
Mark-to-Market Performance Summary,Data,Stocks,CWH,0,100,--,28.9000,0,-19,-0.37025725,0,-19.37025725,CP
Mark-to-Market Performance Summary,Data,Stocks,DKS,200,200,135.7200,135.4000,-64,0,0,0,-64,CP
Mark-to-Market Performance Summary,Data,Stocks,EBAY,100,100,45.8100,45.1200,-69,0,0,0,-69,CP
Mark-to-Market Performance Summary,Data,Stocks,EQT,100,100,38.5500,38.3100,-24,0,0,0,-24,CP
Mark-to-Market Performance Summary,Data,Stocks,HAS,100,100,60.2900,61.7800,149,0,0,0,149,
Mark-to-Market Performance Summary,Data,Stocks,HP,200,200,34.8000,33.6400,-232,0,0,0,-232,
Mark-to-Market Performance Summary,Data,Stocks,HPQ,200,200,29.8000,30.4400,128,0,0,0,128,
Mark-to-Market Performance Summary,Data,Stocks,JWN,200,200,19.7400,20.2100,94,0,0,0,94,CP
Mark-to-Market Performance Summary,Data,Stocks,M,200,200,15.6600,16.1100,90,0,0,0,90,CP
Mark-to-Market Performance Summary,Data,Stocks,MSFT,200,200,326.7900,331.8500,1012,0,0,0,1012,CP
