Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Canada Inc.
Statement,Data,BrokerAddress,"1800 McGill College Avenue, Suite 2106, Montreal, Quebec, Canada  H3A 3J6"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"June 16, 2023"
Statement,Data,WhenGenerated,"2023-06-17, 10:04:07 EDT"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,John Smith
Account Information,Data,Account Alias,RRSP
Account Information,Data,Account,U1234567
Account Information,Data,Account Type,Individual
Account Information,Data,Customer Type,Registered Retirement Savings Plan
Account Information,Data,Account Capabilities,Cash
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,18108.162634954,45248.856248142,0,45248.856248142,27140.693613188
Net Asset Value,Data,Stock,317148,276854,0,276854,-40294
Net Asset Value,Data,Options,-61551.99,4049.73,-52220.32,-48170.59,13381.4
Net Asset Value,Data,Interest Accruals,1.91,1.91,0,1.91,0
Net Asset Value,Data,Dividend Accruals,534.72,525.63,0,525.63,-9.09
Net Asset Value,Data,Total,274240.802634954,326680.126248142,-52220.32,274459.806248142,219.003613188
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.079858143%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,274240.802634954
Change in NAV,Data,Mark-to-Market,212.40000544
Change in NAV,Data,Dividends,25
Change in NAV,Data,Change in Dividend Accruals,-9.09
Change in NAV,Data,Commissions,-9.30639225
Change in NAV,Data,Ending Value,274459.806248142
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,APA,100,100,34.6700,34.3800,-29,0,0,0,-29,
Mark-to-Market Performance Summary,Data,Stocks,BX,100,100,92.6500,91.1300,-152,0,0,0,-152,CP
Mark-to-Market Performance Summary,Data,Stocks,C,100,0,48.5600,48.1900,-37,-819,-0.0465,0,-856.0465,CP
Mark-to-Market Performance Summary,Data,Stocks,CMA,100,100,42.8800,42.4200,-46,0,0,0,-46,CP
Mark-to-Market Performance Summary,Data,Stocks,CWH,100,100,28.8600,28.0700,-79,0,0,0,-79,CP
Mark-to-Market Performance Summary,Data,Stocks,DKS,100,100,135.0700,135.1000,3,0,0,0,3,CP
Mark-to-Market Performance Summary,Data,Stocks,EBAY,100,100,45.6200,45.0600,-56,0,0,25,-31,CP
Mark-to-Market Performance Summary,Data,Stocks,EQT,100,0,38.9500,39.6400,69,-1264,-0.0361,0,-1195.0361,CP
Mark-to-Market Performance Summary,Data,Stocks,HAS,100,100,61.6300,61.4500,-18,0,0,0,-18,
Mark-to-Market Performance Summary,Data,Stocks,HP,200,200,35.2500,34.6100,-128,0,0,0,-128,
Mark-to-Market Performance Summary,Data,Stocks,HPQ,200,200,31.1000,31.0000,-20,0,0,0,-20,
Mark-to-Market Performance Summary,Data,Stocks,JWN,200,0,19.3700,19.0600,-62,-912,-0.0522,0,-974.0522,CP
Mark-to-Market Performance Summary,Data,Stocks,M,200,200,15.9900,15.8500,-28,0,0,0,-28,CP
Mark-to-Market Performance Summary,Data,Stocks,MSFT,200,200,348.1000,342.3300,-1154,0,0,0,-1154,CP
Mark-to-Market Performance Summary,Data,Stocks,NKE,100,100,112.4100,113.5900,118,0,0,0,118,CP
Mark-to-Market Performance Summary,Data,Stocks,NUE,100,100,151.1800,151.4100,23,0,0,0,23,
